"id","name","host_id","host_name","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365","number_of_reviews_ltm","license"
1769731,"1 Bedroom Across from Wrigley Field MVP Suite",9297431,"Inn At Wrigleyville","Lake View",41.94747,-87.65417,"Entire home/apt",179,1,22,"2023-11-05",0.66,6,228,6,"2446867"
1772920,"3 Bedroom Across from Wrigley Field AllStar Suite",9297431,"Inn At Wrigleyville","Lake View",41.94842,-87.65307,"Entire home/apt",379,1,14,"2023-08-06",0.11,6,229,2,"2446868"
1773021,"4 Bedroom Across from Wrigley Field Stadium Suite",9297431,"Inn At Wrigleyville","Lake View",41.94774,-87.65421,"Entire home/apt",479,1,34,"2023-09-24",0.95,6,227,7,"2446868"
1773025,"4 Bedroom Across from Wrigley Field Legend Suite",9297431,"Inn At Wrigleyville","Lake View",41.9475,-87.6542,"Entire home/apt",479,1,25,"2023-09-24",0.7,6,226,4,"2446867"
1810118,"LARGE 1BR/Private Full Bath near U of Chicago",9483312,"Ryan","Woodlawn",41.77738,-87.60041,"Private room",79,4,365,"2023-10-08",2.97,2,145,9,"R17000015592"
1837153,"Musician's Quarters",9601147,"Chester","Hyde Park",41.79989,-87.59432,"Entire home/apt",73,32,58,"2023-06-20",0.47,1,360,1,"City registration pending"
1854000,"Elegant Lakefront Near Wrigley Field Lake Michigan",9471604,"James","Lincoln Park",41.93264,-87.64311,"Entire home/apt",364,32,155,"2022-08-09",1.24,1,365,0,"R93749978238"
1869568,"Homey, cozy and comfortable!",1971382,"Esmirna","North Lawndale",41.8563825995846,-87.7141536121607,"Private room",45,1,1,"2024-01-31",0.57,4,231,1,"R23000111400"
1921670,"The Avondale Garden Unit",9959757,"Jedidiah","Irving Park",41.94663,-87.70783,"Entire home/apt",70,2,320,"2024-03-19",2.89,9,279,33,"R18000036958"
1931880,"Charming Mid-Century Designed Apt in E Lakeview",4995578,"George","Lake View",41.93564,-87.6424,"Entire home/apt",125,32,1,"2022-09-05",0.05,1,55,0,""
1939467,"Rm 1, Quiet&Cozy in Old Irving - NonSmokers, only",8292749,"Ilya","Irving Park",41.959981860728,-87.730067822934,"Private room",37,32,3,"2023-10-02",0.35,2,79,3,""
2011301,"Bucktown - Great Northside Location",5166793,"Carrie & Brad","Logan Square",41.92118,-87.68678,"Private room",49,2,282,"2023-12-09",2.25,2,57,18,"R18000037035"
2062638,"Downtown Urban Oasis 3BR + Huge Deck & Parking!",1876597,"The Adventurers","West Town",41.89821,-87.6572,"Entire home/apt",254,2,211,"2024-02-25",1.69,2,314,17,"2510880"
2103986,"Mid-Century Townhouse in Lakeview",1838943,"Sunnie/Randolph","Lake View",41.93338,-87.63913,"Private room",75,1,158,"2023-08-28",1.32,1,180,16,"R22000091334"
2189522,"Casa Corazón (E) near Rush / UIC",1559157,"Amanda","Lower West Side",41.84828,-87.68021,"Private room",82,2,200,"2023-11-06",1.65,3,206,23,"R20000054162"
2298310,"Hyde Park / Kenwood, U of Chicago. Free bike.",1385332,"Patt","Kenwood",41.80239,-87.60244,"Private room",42,14,57,"2024-02-15",0.47,19,296,10,"R21000072908"
2305230,"Wrigley Hostel - 10 Bed Shared Room",7391164,"Wrigley Hostel","Lake View",41.94594,-87.65431,"Shared room",30,1,420,"2023-10-11",3.72,2,282,22,"2245608"
2437230,"City Hideaway",7000138,"Brock & Kim","North Center",41.94272,-87.68409,"Entire home/apt",246,2,98,"2023-04-24",0.82,1,181,1,"R24000114939"
2479175,"Cozy Garden-Subterranean Apartment",12681444,"Jenny","Lincoln Square",41.96316,-87.69208,"Entire home/apt",79,2,268,"2024-03-17",2.22,1,55,28,"R17000017830"
2499596,"Vintage Apartment in the Heart of the Ukrainian Village",2768314,"Jason","West Town",41.90006,-87.68096,"Entire home/apt",116,10,180,"2024-03-04",1.48,2,0,6,"R23000108359"
2515629,"Cozy, Quiet, Private bathroom in private room",12877384,"Tanya","East Garfield Park",41.88152,-87.69768,"Private room",32,5,172,"2024-03-12",1.46,2,88,15,"R21000073422"
2519442,"Warm Cozy Suite, Private Bath, Free Street Parking",7858620,"Cynthia","Washington Park",41.79606,-87.62382,"Private room",80,2,111,"2023-10-09",0.92,1,347,9,"R17000013595"
2543231,"Private room near Downtown",2850286,"Amado","Lower West Side",41.85669,-87.65132,"Private room",65,32,246,"2022-09-01",2.02,1,179,0,"City registration pending"
2695259,"Grand Vintage Lincoln Park Penthouse 3 Bedrooms",13793246,"Kristi","Lake View",41.93308,-87.6511,"Entire home/apt",299,1,162,"2023-10-22",2.03,1,0,11,"R23000098955"
2715815,"Great Location w/Fast Wi-Fi King Bed DESK GYM A+",3965428,"Dominic","Near South Side",41.85361,-87.62434,"Entire home/apt",130,32,17,"2023-10-19",0.14,50,175,1,"City registration pending"
2824585,"#54-Home away from home- Safe place",13389580,"Ed","Dunning",41.9443,-87.79831,"Private room",45,32,29,"2022-09-03",0.24,2,356,0,"R17000013486"
2832376,"Modern 1 Bedroom w/POOL HOT TUB Luxury",3965428,"Dominic","Near South Side",41.85434,-87.62194,"Entire home/apt",135,32,6,"2018-07-07",0.05,50,365,0,"City registration pending"
2844042,"iKlektik House Chicago / BlueJay",8813383,"Mindy + Tony","West Town",41.89288,-87.68458,"Entire home/apt",165,2,165,"2024-01-22",1.37,3,125,7,"R23000110018"
2874486,"Gorgeous Penthouse with Stunning Views from Private Rooftop",14692157,"Ross","West Town",41.90026,-87.66871,"Entire home/apt",171,2,244,"2024-03-07",2.68,2,175,37,"R21000071753"
2907500,"The Red Room",11231030,"Erik","West Lawn",41.78225,-87.72806,"Private room",39,1,349,"2024-02-19",2.98,2,334,17,"R17000014945"
3031898,"Art Collector's Pied-a'-terre",15442332,"Karen Sophie","South Shore",41.77206,-87.56982,"Entire home/apt",85,32,245,"2019-10-23",2.04,1,329,0,"City registration pending"
3068787,"Lincoln Square Modern 2 Bed 2 Bath",7780304,"Mark And Collette","North Center",41.96136,-87.6784,"Entire home/apt",160,3,157,"2024-01-23",1.51,1,258,32,"R22000080115"
3083343,"Splendid Flat w/ Huge Porch, STEPS from 606 Trail",209564,"Ami","Logan Square",41.9153327941895,-87.6704788208008,"Entire home/apt",112,2,133,"2024-02-26",1.16,6,89,17,"R18000036344"
3267902,"Ravenswood Guest House Annex",2676165,"Richard","Edgewater",41.98908,-87.66697,"Entire home/apt",89,2,376,"2024-03-17",3.16,1,212,42,"R23000104940"
3292054,"The Roscoe House near Wrigley Field",5960265,"Courtney And Garrett","Lake View",41.94278,-87.65621,"Entire home/apt",264,2,258,"2024-03-20",2.19,2,288,42,"R23000105796"
3308694,"""The Annex II"" Huge 1,600 Sq foot Apartment",16707041,"Matthew","Near West Side",41.88711,-87.6438,"Entire home/apt",356,2,117,"2024-03-17",1.28,2,155,17,"R21000072734"
3329088,"East Garfield Park 2 Bedroom",16807770,"William","East Garfield Park",41.88367,-87.70864,"Entire home/apt",117,3,135,"2024-03-18",1.14,1,318,24,"R23000105070"
3385966,"Welcome to your 2BD Penthouse",9995028,"Chad","Lake View",41.93594,-87.66953,"Entire home/apt",161,32,190,"2023-11-11",1.75,1,139,4,"C17000006773"
3434136,"Beautiful West Lakeview location",17217012,"Janet","Lake View",41.94159,-87.65099,"Private room",75,32,178,"2023-10-15",1.51,1,363,9,"R17000013279"
3445991,"#55-Clean,Great area. free parking, 24h check in.",13389580,"Ed","Dunning",41.94418,-87.79895,"Private room",35,32,6,"2022-04-20",0.05,2,89,0,"City registration pending"
3453656,"Private large room with your own bathroom",17405364,"Jennifer","Rogers Park",42.00146,-87.66982,"Private room",55,7,41,"2023-05-24",0.39,3,51,1,"R21000073244"
3517984,"Private room w/bath in urban canopy",11294056,"Amanda","Hyde Park",41.79963,-87.59186,"Private room",76,1,430,"2024-03-11",3.68,1,96,49,"R17000015187"
3570616,"1 Bedroom Victorian Beauty at Logan Square!",3920450,"Vas","Logan Square",41.93047,-87.7196,"Entire home/apt",72,32,158,"2024-03-02",1.34,4,66,5,""
3590692,"Modern, Super-CLEAN, Garden Level  Bedroom 3",12955486,"Luke & Ligia","Edgewater",41.99103,-87.66166,"Private room",49,20,47,"2024-03-05",0.4,3,200,3,"R18000034100"
3638744,"Chicago Suite 1BR/1BA (3709-G2)",837429,"Petru","Irving Park",41.95965,-87.72016,"Entire home/apt",76,32,46,"2022-12-01",0.4,1,203,0,"R17000014762"
3639045,"Modern suite in Victorian Garden setting.",8607123,"Grainne","West Ridge",41.99595,-87.67545,"Entire home/apt",65,32,5,"2020-10-03",0.07,2,234,0,"R17000015507"
3696178,"Beautiful condo close to the beach",18742622,"Barbara","Rogers Park",42.0222,-87.67226,"Private room",68,2,74,"2024-03-11",0.68,2,309,10,"R23000109108"
3742513,"03a. Queen sized in coed room",2907254,"Joseph","West Ridge",42.0168,-87.68771,"Shared room",17,1,160,"2024-02-24",1.37,12,358,14,"R21000075752"
3761023,"Free parking, close to public transit, dining",14015437,"Andrew &  Diane","Bridgeport",41.83615,-87.64638,"Entire home/apt",80,3,78,"2023-09-25",0.83,1,22,6,"R23000105445"
3783533,"""Home Away from Home"" - Free Street Parking!",19416379,"Glenda","Humboldt Park",41.898048,-87.702972,"Entire home/apt",126,32,363,"2023-10-09",3.13,1,179,17,"R17000018703"
3792844,"Luxury One Bedroom One-Private bathroom on beach",19471032,"Alberto","Loop",41.877,-87.63055,"Private room",55,32,10,"2023-12-24",0.3,1,261,4,"R21000074087"
3809530,"Best location in Chicago! Superhost",19578992,"Laura","West Town",41.90173,-87.67359,"Entire home/apt",257,32,103,"2023-10-09",0.88,3,364,1,"R17000015699"
3897045,"Chic and modern - Best location in Chicago",3843347,"Andrea","Near North Side",41.89637,-87.62726,"Entire home/apt",98,32,37,"2023-12-13",0.32,3,198,1,"City registration pending"
3946324,"Welcome to Our Shared Home Room 1E",20449664,"John","Dunning",41.9430597387903,-87.7943167080218,"Private room",95,3,30,"2023-08-22",0.26,3,179,4,"R22000090510"
3953322,"Spacious Luxury Townhouse - Old Town",20490917,"Robert","Lincoln Park",41.91374,-87.64014,"Entire home/apt",109,1,189,"2024-03-10",1.91,2,233,24,"R22000092254"
3962072,"SPACIOUS and VERY BRIGHT 2BDR LOFT near DOWNTOWN",20528154,"Gabriela","Near West Side",41.88503,-87.68664,"Entire home/apt",121,3,128,"2023-10-14",1.1,1,350,14,"R22000092133"
3979385,"Private 3rd Floor Apartment",20624213,"Karen","Uptown",41.95669,-87.64847,"Entire home/apt",140,2,331,"2024-03-10",2.84,1,192,23,"R19000047696"
4067870,"Casa Corazón (N) near Rush / UIC",1559157,"Amanda","Lower West Side",41.84828,-87.68021,"Private room",82,2,134,"2023-10-22",1.19,3,197,18,"R20000054162"
4083903,"Beautiful, Spacious Historic Greystone Unit.",21178487,"Fatimah","Grand Boulevard",41.80392,-87.6108,"Entire home/apt",150,32,3,"2020-03-01",0.06,1,89,0,"R21000075485"
4096995,"Spacious Private Room w/ king bed",2880338,"Elizabeth","Uptown",41.96264,-87.67296,"Private room",38,32,31,"2023-07-04",0.27,2,179,3,"R17000015627"
4214683,"Mid City, Vintage, Close to O'Hare Pvt Room",21872907,"Tamiz","Irving Park",41.95107,-87.71005,"Private room",57,2,156,"2024-03-18",1.36,1,121,35,"R22000091106"
4243309,"Sleek Wrigleyville/Boystown Condo with Rooftop Skyline Views",21924626,"Nathan","Lake View",41.94124,-87.64941,"Private room",99,1,379,"2024-03-21",3.36,2,291,25,"R22000091244"
4243905,"Historic house in hip Logan Square",22022871,"Jill","Logan Square",41.9254,-87.69753,"Entire home/apt",250,32,53,"2023-11-07",0.51,1,329,4,"R23000095686"
4257285,"The Stained Glass Apt. Edgewater #2",2915265,"Felice","Edgewater",41.99632,-87.66385,"Private room",65,3,71,"2023-10-10",0.62,2,320,10,"R22000091618"
4365466,"01a. Full bed in Shared Space - Female Guests Only",2907254,"Joseph","West Ridge",42.01653,-87.68788,"Shared room",17,1,113,"2023-12-22",0.98,12,142,6,"R21000075752"
4370895,"Sun-drenched Vintage Flat with a Lake view",10691960,"Kayla","Near North Side",41.90487,-87.62747,"Entire home/apt",271,32,96,"2022-06-06",0.85,1,178,0,"City registration pending"
4394093,"Private bed/bath in beautiful home",22810362,"Anne","Lake View",41.95518,-87.66999,"Private room",100,3,36,"2023-08-19",0.33,1,113,2,"R20000058491"
4417718,"Cozy, Bright Basement Guest Suite",1096941,"Angela","Irving Park",41.96114,-87.70514,"Private room",50,25,25,"2024-02-20",0.22,1,115,6,"R18000036419"
4457161,"Comfy 3BD/1BA, garage spot included",23128169,"Jeanne","North Center",41.95931,-87.67795,"Entire home/apt",199,2,90,"2024-02-20",0.79,1,124,10,"R17000018685"
4567558,"2 Bedrooms are perfect for groups up to 3 guests",2169532,"Adam","Irving Park",41.95501,-87.73814,"Private room",107,32,131,"2022-10-11",1.17,1,89,0,"R21000061825"
4592031,"UPTOWN ROW HOUSE-SPACIOUS PRIVATE SHARED ROOM(S)",23803571,"Tomasso","Uptown",41.96574,-87.65747,"Private room",100,1,137,"2024-01-14",1.58,1,165,18,"R21000074243"
4598631,"7 Beds 2 floor Apt : NO Parties",1649647,"Bianca","West Town",41.9116,-87.66693,"Entire home/apt",189,32,307,"2023-04-01",2.7,5,294,1,"c"
4632510,"Spacious two bedroom with patio!",1563534,"Lizzie","West Town",41.90376,-87.69556,"Entire home/apt",91,32,162,"2024-01-28",1.44,1,160,3,"R18000028038"
4662201,"Great location, large space",24124115,"Syed","West Town",41.900188,-87.661751,"Entire home/apt",100,32,28,"2022-10-15",0.25,1,365,0,"R21000072502"
4730797,"Home in Vibrant Logan Square",2892101,"Justine","Logan Square",41.92125,-87.70158,"Private room",55,3,124,"2024-03-02",1.13,2,100,15,"R22000090201"
4731523,"A Cozy Room for Two in Vibrant Logan Square",2892101,"Justine","Logan Square",41.92286,-87.70154,"Private room",56,3,82,"2023-12-06",0.73,2,41,15,"R22000090201"
4786970,"Large room in Art Gallery ((:",24676863,"William","West Town",41.90992,-87.67521,"Private room",119,32,69,"2023-11-10",0.63,3,333,4,"R19000051167"
4793938,"2BD Suite @ The Guesthouse Hotel",24705990,"Rick","Uptown",41.97106,-87.66777,"Hotel room",303,3,90,"2023-08-20",0.81,8,206,7,"2328618"
4803582,"Coach house Wicker Park- Bucktown",24267774,"Barbara","West Town",41.90596,-87.67569,"Entire home/apt",135,32,155,"2023-10-09",1.41,1,362,18,"R17000013739"
4840199,"3BD Suite with Fireplace @ The Guesthouse Hotel",24705990,"Rick","Uptown",41.97095,-87.66798,"Entire home/apt",416,3,32,"2024-01-22",0.3,8,190,5,"2328618"
4840753,"1BD Suite @ The Guesthouse Hotel",24705990,"Rick","Uptown",41.97106,-87.66777,"Private room",226,3,38,"2023-03-31",0.34,8,185,2,"2328618"
4852830,"Private bedroom in Lincoln Park",597871,"Matt","Lincoln Park",41.91233,-87.65146,"Private room",120,2,315,"2023-12-30",2.85,1,286,29,"R17000015165"
4872152,"Simple room, close to trains!",21922655,"Angelica","West Town",41.90637,-87.68954,"Private room",49,1,258,"2023-12-01",2.33,1,16,19,"R23000105355"
4923963,"Charming Brownstone Garden Level",23197213,"Doral","Grand Boulevard",41.80944,-87.61664,"Entire home/apt",100,32,29,"2022-08-27",0.29,2,365,0,"R17000013470"
4930338,"Beautiful Brownstone Apt.",23197213,"Doral","Grand Boulevard",41.81214,-87.61328,"Entire home/apt",146,32,24,"2018-07-17",0.22,2,365,0,"City registration pending"
5074013,"Unwind in Style Steps from the Magnificent Mile",10209853,"Tatiana & Roupen","Near North Side",41.89295,-87.62217,"Entire home/apt",275,2,356,"2024-03-08",3.27,2,79,32,"R21000071014"
5102125,"Private BR in Condo close to Chicago Dwtwn!",10613587,"Saurin","West Town",41.89492,-87.65926,"Private room",77,1,243,"2023-12-17",2.55,5,142,33,"R21000073001"
5117490,"The Entire Floor of a Comfortable & Modern Duplex",1407749,"Vladimir","West Town",41.89998,-87.69244,"Private room",114,32,191,"2023-10-10",1.72,1,179,2,"R23000096790"
5126218,"Rooftop deck, spacious, comfortable",13228002,"Martha","Logan Square",41.92026,-87.67979,"Entire home/apt",175,32,6,"2023-07-30",0.06,1,60,1,"R17000014777"
